,SMILES,CANONICAL_SMILES,Energy
82089,N(C)C(c1ccc(CN(C)C(c2c3c(nc(-c4occc4)c2)cccc3)=O)cc1)=O,CNC(=O)c1ccc(CN(C)C(=O)c2cc(-c3ccco3)nc3ccccc23)cc1,-7.507427171
82090,C1C(CC2C[C@@]1(CN2C(=O)c1c2ccccc2nc(c1)-c1ccc(OC)cc1)C)(C)C,COc1ccc(-c2cc(C(=O)N3C[C@@]4(C)CC3CC(C)(C)C4)c3ccccc3n2)cc1,-9.846847659
82091,c1(ccnc2c1cccc2)C(N1CCCC1C(=S)N)=O,NC(=S)C1CCCN1C(=O)c1ccnc2ccccc12,-8.339821220900001
82092,CCC(NC(c1c(OCCNC2Cc3ccccc3C2)c(nc2c1cccc2)-c1ccccc1)=O)c1ccccc1,CCC(NC(=O)c1c(OCCNC2Cc3ccccc3C2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,-7.5180060955
82093,C1CCCC(C1)N1C(=O)c2c(c(C(N3CC(CC3)c3ccccc3)=O)c3c(n2)cccc3)C1,O=C(c1c2c(nc3ccccc13)C(=O)N(C1CCCCC1)C2)N1CCC(c2ccccc2)C1,-9.425412148
82094,c12ccccc2nc(-c2cnn(-c3ccc(cc3)CC)c2C)cc1C(Nc1cccc(c1)SC)=O,CCc1ccc(-n2ncc(-c3cc(C(=O)Nc4cccc(SC)c4)c4ccccc4n3)c2C)cc1,-9.378687962799999
82095,C(c1c2cc(OC)ccc2nc(-c2cc(OC)c(c(OC)c2)OC)c1)(=O)NC(Cc1c[nH]c2c1cccc2)C(OC)=O,COC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1cc(-c2cc(OC)c(OC)c(OC)c2)nc2ccc(OC)cc12,-11.956077892
82096,c1cc2c(c3ccccc3nc2cc1)C(=O)Nc1c(cc(C2(CCN(CC2)C(=O)OCc2ccccc2)c2cc(c(N)c(c2)C)C)cc1C)C,Cc1cc(C2(c3cc(C)c(NC(=O)c4c5ccccc5nc5ccccc45)c(C)c3)CCN(C(=O)OCc3ccccc3)CC2)cc(C)c1N,-3.6682214550000003
82097,C1C(CCCC1)N(S(=O)(N1CCN(CC1)C(c1c2ccccc2nc(-c2ccco2)c1)=O)=O)C,CN(C1CCCCC1)S(=O)(=O)N1CCN(C(=O)c2cc(-c3ccco3)nc3ccccc23)CC1,-8.638332396100001
82098,c1c(-c2cc(C(=O)Nc3ccc(Cl)cc3)c3c(c(ccc3)C)n2)ccc2c1OCCO2,Cc1cccc2c(C(=O)Nc3ccc(Cl)cc3)cc(-c3ccc4c(c3)OCCO4)nc12,-11.702983785
82099,N1(CCC(NC(=O)NC)CC1)Cc1c(nc2ccccc2c1C(NC(C)C1CCCCC1)=O)-c1cccs1,CNC(=O)NC1CCN(Cc2c(-c3cccs3)nc3ccccc3c2C(=O)NC(C)C2CCCCC2)CC1,-10.8396290538
82100,C(c1c2c(nc(-c3c(C)c4ccccc4s3)c1)c(ccc2OCCc1ccccc1)C)(NS(=O)(c1cccc(N)n1)=O)=O,Cc1c(-c2cc(C(=O)NS(=O)(=O)c3cccc(N)n3)c3c(OCCc4ccccc4)ccc(C)c3n2)sc2ccccc12,-9.497776544
82101,c1c(C(Nc2ccc(cc2)N2CCOCC2)=O)c2ccccc2nc1-c1occc1,O=C(Nc1ccc(N2CCOCC2)cc1)c1cc(-c2ccco2)nc2ccccc12,-9.845560986999999
82102,c1cccc2c1C1(C(C2)O)CCN(C(=O)c2c3ccc(F)cc3nc(c2)C)CC1,Cc1cc(C(=O)N2CCC3(CC2)c2ccccc2CC3O)c2ccc(F)cc2n1,-12.058781305
82103,N(C1CCCC1)C(=O)c1c2ccccc2nc(Nc2cc(C(F)(F)F)ccc2)c1,O=C(NC1CCCC1)c1cc(Nc2cccc(C(F)(F)F)c2)nc2ccccc12,-9.06506766
